"","initial","final","genes","values"
"289","109887104","109887104","TLR4","0"
"290","109887104","109887104","VEGF_out","1"
"291","76091561","76091561","EGFR_e","1"
"292","76091561","76091561","FCGR","1"
"293","76091561","76091561","GMCSF_e","1"
"294","76091561","76091561","IC_e","1"
"295","76091561","76091561","IL10_e","1"
"296","76091561","76091561","IL10_out","1"
"297","76091561","76091561","IL10R","1"
"298","76091561","76091561","IL12_out","0"
"299","76091561","76091561","IL1B_e","1"
"300","76091561","76091561","IL1R","1"
"301","76091561","76091561","IL4_e","0"
"302","76091561","76091561","IL6_e","1"
"303","76091561","76091561","IL6_out","1"
"304","76091561","76091561","IL6R","1"
"305","76091561","76091561","KLF4","1"
"306","76091561","76091561","LPS_e","0"
"307","76091561","76091561","NECA_e","1"
"308","76091561","76091561","NFKB","0"
"309","76091561","76091561","PPARG","1"
"310","76091561","76091561","SOCS3","0"
"311","76091561","76091561","STAT3_IL10","1"
"312","76091561","76091561","STAT3_IL6","1"
"313","76091561","76091561","STAT5","1"
"314","76091561","76091561","TLR4","0"
"315","76091561","76091561","VEGF_out","1"
"316","76091561","76101249","IFNG_e","0"
"317","76091561","76101249","SOCS1","0"
"318","76091561","76101249","STAT1","0"
"319","76091561","76101249","STAT6","1"
"320","76101249","76091561","IL4_e","0"
"321","76101249","76091561","STAT6","0"
"322","76101249","76101249","EGFR_e","1"
"323","76101249","76101249","FCGR","1"
"324","76101249","76101249","GMCSF_e","1"
"325","76101249","76101249","IC_e","1"
"326","76101249","76101249","IL10_e","1"
"327","76101249","76101249","IL10_out","1"
"328","76101249","76101249","IL10R","1"
"329","76101249","76101249","IL12_out","1"
"330","76101249","76101249","IL1B_e","1"
"331","76101249","76101249","IL1R","1"
"332","76101249","76101249","IL6_e","1"
"333","76101249","76101249","IL6_out","1"
"334","76101249","76101249","IL6R","1"
"335","76101249","76101249","KLF4","0"
"336","76101249","76101249","LPS_e","0"
"337","76101249","76101249","NECA_e","1"
"338","76101249","76101249","NFKB","1"
"339","76101249","76101249","PPARG","0"
"340","76101249","76101249","SOCS1","0"
"341","76101249","76101249","SOCS3","0"
"342","76101249","76101249","STAT3_IL10","1"
"343","76101249","76101249","STAT3_IL6","1"
"344","76101249","76101249","STAT5","1"
"345","76101249","76101249","TLR4","0"
"346","76101249","76101249","VEGF_out","1"
"347","76101249","76398208","IFNG_e","0"
"348","76101249","76398208","STAT1","0"
"349","76398208","76101249","STAT1","1"
"350","76398208","76398208","EGFR_e","1"
"351","76398208","76398208","FCGR","1"
"352","76398208","76398208","GMCSF_e","1"
"353","76398208","76398208","IC_e","1"
"354","76398208","76398208","IFNG_e","0"
"355","76398208","76398208","IL10_e","1"
"356","76398208","76398208","IL10_out","0"
"357","76398208","76398208","IL10R","0"
"358","76398208","76398208","IL12_out","1"
"359","76398208","76398208","IL1B_e","1"
"360","76398208","76398208","IL1R","1"
"361","76398208","76398208","IL4_e","0"
"362","76398208","76398208","IL6_e","1"
"363","76398208","76398208","IL6_out","1"
"364","76398208","76398208","IL6R","1"
"365","76398208","76398208","KLF4","0"
"366","76398208","76398208","LPS_e","0"
"367","76398208","76398208","NECA_e","1"
"368","76398208","76398208","NFKB","1"
"369","76398208","76398208","PPARG","0"
"370","76398208","76398208","SOCS1","0"
"371","76398208","76398208","SOCS3","0"
"372","76398208","76398208","STAT3_IL10","0"
"373","76398208","76398208","STAT3_IL6","1"
"374","76398208","76398208","STAT5","1"
"375","76398208","76398208","STAT6","0"
"376","76398208","76398208","TLR4","0"
"377","76398208","76398208","VEGF_out","1"
